Segunda-feira,CTISM,Unidade de Educação Infantil Ipê Amarelo,Centro de Educação UFSM,Engenharia Química,Departamento de Fitotecnia,Planetário da UFSM,Arquivo Geral(Subsolo da Reitoria),Centro de Eventos da UFSM,Banco do Brasil,Caixa Econômica Federal,Centro Comercial,,,,,,,
Quarta-feira,Imprensa Universitária UFSM,Centro de Tecnologia da UFSM,Centro de Ciências Naturais e Exatas - UFSM,Almoxarifado Central UFSM,Restaurante Universitário,Restaurante Universitário II,Prédio 21,Prédio 20,Prédio19,Prédio 17,Centro de Artes e Letras UFSM,Centro de Ciências Rurais - Prédio 42,Centro de Ciências Rurais - Prédio 44,Centro de Ciências Sociais e Humanas - UFSM,Lancheria do Prédio 74A,Colégio Politécnico da UFSM,Reitoria UFSM - 2º andar,Centro de Educação Física e Desporto da UFSM
Segunda-feira e Quarta-feira,INPE - Centro Regional Sul de Pesquisas Espaciais,Setor de Manutenção,Divisão de Patrimônio (Dipat),FATEC - Fundação de Apoio à Tecnologia e Ciência,Biblioteca Central Manoel Marques de Souza Conde de Porto Alegre - UFSM,União Universitária,NIDAL-UFSM,Obra ao lado do prédio 74C,HVSM - Hospital Veterinário de SM,Antiga Reitoria UFSM,,,,,,,,
